"Date of Rally","City","State","Venue","Estimated Visitors","period"
"Wednesday, June 17, 2015","Manchester","NH","Manchester Community College","300","Primary"
"Saturday, July 11, 2015","Phoenix","AZ","Phoenix Convention Center","15,000","Primary"
"Tuesday, July 21, 2015","Sun City","SC","Magnolia Hall","500","Primary"
"Saturday, July 25, 2015","Oskaloosa","IA","Oskaloosa High School","1,000","Primary"
"Friday, August 14, 2015","Hampton","NH","Winnacunnet High School","3,000","Primary"
"Friday, August 21, 2015","Mobile","AL","Ladd-Peebles Stadium","15,000-30,000","Primary"
"Tuesday, August 25, 2015","Dubuque","IA","Grand River Center","3,000","Primary"
"Thursday, August 27, 2015","Greenville","SC","TD Convention Center","1,400","Primary"
"Friday, August 28, 2015","Norwood","MA","Home of Ernie Boch, Jr.","""1,500-2,000""","Primary"
"Monday, September 14, 2015","Dallas","TX","American Airlines Center","15,000","Primary"
"Tuesday, September 15, 2015","Los Angeles","CA","USS Iowa","1,000+","Primary"
"Friday, September 25, 2015","Oklahoma City","OK","Oklahoma State Fair","15,000","Primary"
"Wednesday, September 30, 2015","Keene","NH","Keene High School","3,500","Primary"
"Saturday, October 3, 2015","Franklin","TN","The Factory at Franklin","Thousands","Primary"
"Wednesday, October 7, 2015","Waterloo","IA","Electric Park Ballroom","1,100","Primary"
"Saturday, October 10, 2015","Norcross","GA","North Atlanta Trade Center","7,700","Primary"
"Friday, October 16, 2015","Tyngsboro","MA","Tyngsboro Elementary School","1,000+","Primary"
"Monday, October 19, 2015","Anderson","SC","Civic Center of Anderson","5,000","Primary"
"Saturday, October 24, 2015","Jacksonville","FL","Jacksonville Landing","20,000","Primary"
"Tuesday, October 27, 2015","Sioux City","IA","West High School","2,200","Primary"
"Thursday, October 29, 2015","Sparks","NV","Nugget Casino Resort","2,000","Primary"
"Saturday, October 31, 2015","Norfolk","VA","USS Wisconsin","2,000","Primary"
"Monday, November 9, 2015","Springfield","IL","Prairie Capital Convention Center","10,200","Primary"
"Thursday, November 12, 2015","Fort Dodge","IA","Iowa Central Community College","1,500","Primary"
"Saturday, November 14, 2015","Beaumont","TX","Ford Arena","","Primary"
"Monday, November 16, 2015","Knoxville","TN","Knoxville Convention Center","5,000","Primary"
"Wednesday, November 18, 2015","Worcester","MA","DCU Center","10,500","Primary"
"Thursday, November 19, 2015","Newton","IA","Maytag Auditorium, DMACC Newton Campus","400","Primary"
"Saturday, November 21, 2015","Birmingham","AL","Birmingham–Jefferson Convention Complex","3,000","Primary"
"Monday, November 23, 2015","Columbus","OH","Greater Columbus Convention Center","14,000","Primary"
"Tuesday, November 24, 2015","Myrtle Beach","SC","Myrtle Beach Convention Center","8,000","Primary"
"Saturday, November 28, 2015","Sarasota","FL","Robarts Arena","9,000","Primary"
"Monday, November 30, 2015","Macon","GA","Macon Coliseum","6,000","Primary"
"Tuesday, December 1, 2015","Waterville Valley","NH","White Mountain Athletic Club","900","Primary"
"Wednesday, December 2, 2015","Manassas","VA","Prince William County Fairgrounds","","Primary"
"Friday, December 4, 2015","Raleigh","NC","Dorton Arena","8,000","Primary"
"Saturday, December 5, 2015","Davenport","IA","Mississippi Valley Fairgrounds","1,700","Primary"
"Saturday, December 5, 2015","Spencer","IA","Clay County Regional Events Center","1,300","Primary"
"Monday, December 7, 2015","Mount Pleasant","SC","USS Yorktown","","Primary"
"Friday, December 11, 2015","Des Moines","IA","Varied Industries Building, Iowa State Fairgrounds","2,500","Primary"
"Saturday, December 12, 2015","Aiken","SC","USC Aiken Convocation Center","","Primary"
"Monday, December 14, 2015","Las Vegas","NV","Westgate Las Vegas Resort & Casino","","Primary"
"Wednesday, December 16, 2015","Mesa","AZ","Phoenix–Mesa Gateway Airport","3,100","Primary"
"Saturday, December 19, 2015","Cedar Rapids","IA","Veterans Memorial Coliseum","1,200","Primary"
"Monday, December 21, 2015","Grand Rapids","MI","DeltaPlex Arena","7,000","Primary"
"Monday, December 28, 2015","Nashua","NH","Pennichuck Middle School","1,000","Primary"
"Tuesday, December 29, 2015","Council Bluffs","IA","Mid-America Center","","Primary"
"Wednesday, December 30, 2015","Hilton Head","SC","The Westin Hilton Head Island Resort & Spa","2,500","Primary"
"Saturday, January 2, 2016","Biloxi","MS","Mississippi Coast Coliseum","15,000","Primary"
"Monday, January 4, 2016","Lowell","MA","Tsongas Center","Thousands","Primary"
"Tuesday, January 5, 2016","Claremont","NH","Stevens High School","1,200","Primary"
"Thursday, January 7, 2016","Burlington","VT","Flynn Center for the Performing Arts","1,400","Primary"
"Friday, January 8, 2016","Rock Hill","SC","Winthrop Coliseum","6,500","Primary"
"Saturday, January 9, 2016","Clear Lake","IA","Surf Ballroom","1,700","Primary"
"Saturday, January 9, 2016","Ottumwa","IA","Bridgeview Center","","Primary"
"Sunday, January 10, 2016","Reno","NV","Reno Events Center","4,000","Primary"
"Monday, January 11, 2016","Windham","NH","Castleton Banquet and Conference Center","550","Primary"
"Tuesday, January 12, 2016","Cedar Falls","IA","West Gymnasium, University of Northern Iowa","2,000","Primary"
"Wednesday, January 13, 2016","Pensacola","FL","Pensacola Bay Center","10,000","Primary"
"Friday, January 15, 2016","Urbandale","IA","Living History Farms Visitor Center","100","Primary"
"Monday, January 18, 2016","Concord","NH","Concord High School","700","Primary"
"Monday, January 18, 2016","Lynchburg","VA","Vines Center, Liberty University","10,000","Primary"
"Tuesday, January 19, 2016","Ames","IA","Hansen Agriculture Student Learning Center, Iowa State University","2,000","Primary"
"Wednesday, January 20, 2016","Norwalk","IA","The Wright Place","300","Primary"
"Wednesday, January 20, 2016","Tulsa","OK","Mabee Center, Oral Roberts University","9,000","Primary"
"Thursday, January 21, 2016","Las Vegas","NV","South Point Hotel, Casino & Spa","3,000","Primary"
"Saturday, January 23, 2016","Pella","IA","Douwstra Auditorium, Central College","400","Primary"
"Saturday, January 23, 2016","Sioux Center","IA","B. J. Haan Auditorium, Dordt College","2,600","Primary"
"Sunday, January 24, 2016","Muscatine","IA","Muscatine High School","1,000","Primary"
"Monday, January 25, 2016","Farmington","NH","Farmington Senior High School","1,000","Primary"
"Tuesday, January 26, 2016","Iowa City","IA","Iowa Field House, University of Iowa","2,000","Primary"
"Tuesday, January 26, 2016","Marshalltown","IA","Roundhouse Gymnasium, Marshalltown High School","2,149","Primary"
"Wednesday, January 27, 2016","Gilbert","SC","The Barn at Harmon's","400","Primary"
