"Date of Rally","City","State","Venue","Estimated Visitors","period"
2015-06-17,"Manchester","NH","Manchester Community College",300,"Primary"
2015-07-11,"Phoenix","AZ","Phoenix Convention Center",15000,"Primary"
2015-07-21,"Sun City","SC","Magnolia Hall",500,"Primary"
2015-07-25,"Oskaloosa","IA","Oskaloosa High School",1000,"Primary"
2015-08-14,"Hampton","NH","Winnacunnet High School",3000,"Primary"
2015-08-21,"Mobile","AL","Ladd-Peebles Stadium",15000,"Primary"
2015-08-25,"Dubuque","IA","Grand River Center",3000,"Primary"
2015-08-27,"Greenville","SC","TD Convention Center",1400,"Primary"
2015-08-28,"Norwood","MA","Home of Ernie Boch, Jr.",1500,"Primary"
2015-09-14,"Dallas","TX","American Airlines Center",15000,"Primary"
2015-09-15,"Los Angeles","CA","USS Iowa",1000,"Primary"
2015-09-25,"Oklahoma City","OK","Oklahoma State Fair",15000,"Primary"
2015-09-30,"Keene","NH","Keene High School",3500,"Primary"
2015-10-03,"Franklin","TN","The Factory at Franklin",2000,"Primary"
2015-10-07,"Waterloo","IA","Electric Park Ballroom",1100,"Primary"
2015-10-10,"Norcross","GA","North Atlanta Trade Center",7700,"Primary"
2015-10-16,"Tyngsboro","MA","Tyngsboro Elementary School",1000,"Primary"
2015-10-19,"Anderson","SC","Civic Center of Anderson",5000,"Primary"
2015-10-24,"Jacksonville","FL","Jacksonville Landing",20000,"Primary"
2015-10-27,"Sioux City","IA","West High School",2200,"Primary"
2015-10-29,"Sparks","NV","Nugget Casino Resort",2000,"Primary"
2015-10-31,"Norfolk","VA","USS Wisconsin",2000,"Primary"
2015-11-09,"Springfield","IL","Prairie Capital Convention Center",10200,"Primary"
2015-11-12,"Fort Dodge","IA","Iowa Central Community College",1500,"Primary"
2015-11-14,"Beaumont","TX","Ford Arena",NA,"Primary"
2015-11-16,"Knoxville","TN","Knoxville Convention Center",5000,"Primary"
2015-11-18,"Worcester","MA","DCU Center",10500,"Primary"
2015-11-19,"Newton","IA","Maytag Auditorium, DMACC Newton Campus",400,"Primary"
2015-11-21,"Birmingham","AL","Birmingham–Jefferson Convention Complex",3000,"Primary"
2015-11-23,"Columbus","OH","Greater Columbus Convention Center",14000,"Primary"
2015-11-24,"Myrtle Beach","SC","Myrtle Beach Convention Center",8000,"Primary"
2015-11-28,"Sarasota","FL","Robarts Arena",9000,"Primary"
2015-11-30,"Macon","GA","Macon Coliseum",6000,"Primary"
2015-12-01,"Waterville Valley","NH","White Mountain Athletic Club",900,"Primary"
2015-12-02,"Manassas","VA","Prince William County Fairgrounds",NA,"Primary"
2015-12-04,"Raleigh","NC","Dorton Arena",8000,"Primary"
2015-12-05,"Davenport","IA","Mississippi Valley Fairgrounds",1700,"Primary"
2015-12-05,"Spencer","IA","Clay County Regional Events Center",1300,"Primary"
2015-12-07,"Mount Pleasant","SC","USS Yorktown",NA,"Primary"
2015-12-11,"Des Moines","IA","Varied Industries Building, Iowa State Fairgrounds",2500,"Primary"
2015-12-12,"Aiken","SC","USC Aiken Convocation Center",NA,"Primary"
2015-12-14,"Las Vegas","NV","Westgate Las Vegas Resort & Casino",NA,"Primary"
2015-12-16,"Mesa","AZ","Phoenix–Mesa Gateway Airport",3100,"Primary"
2015-12-19,"Cedar Rapids","IA","Veterans Memorial Coliseum",1200,"Primary"
2015-12-21,"Grand Rapids","MI","DeltaPlex Arena",7000,"Primary"
2015-12-28,"Nashua","NH","Pennichuck Middle School",1000,"Primary"
2015-12-29,"Council Bluffs","IA","Mid-America Center",NA,"Primary"
2015-12-30,"Hilton Head","SC","The Westin Hilton Head Island Resort & Spa",2500,"Primary"
2016-01-02,"Biloxi","MS","Mississippi Coast Coliseum",15000,"Primary"
2016-01-04,"Lowell","MA","Tsongas Center",2000,"Primary"
2016-01-05,"Claremont","NH","Stevens High School",1200,"Primary"
2016-01-07,"Burlington","VT","Flynn Center for the Performing Arts",1400,"Primary"
2016-01-08,"Rock Hill","SC","Winthrop Coliseum",6500,"Primary"
2016-01-09,"Clear Lake","IA","Surf Ballroom",1700,"Primary"
2016-01-09,"Ottumwa","IA","Bridgeview Center",NA,"Primary"
2016-01-10,"Reno","NV","Reno Events Center",4000,"Primary"
2016-01-11,"Windham","NH","Castleton Banquet and Conference Center",550,"Primary"
2016-01-12,"Cedar Falls","IA","West Gymnasium, University of Northern Iowa",2000,"Primary"
2016-01-13,"Pensacola","FL","Pensacola Bay Center",10000,"Primary"
2016-01-15,"Urbandale","IA","Living History Farms Visitor Center",100,"Primary"
2016-01-18,"Concord","NH","Concord High School",700,"Primary"
2016-01-18,"Lynchburg","VA","Vines Center, Liberty University",10000,"Primary"
2016-01-19,"Ames","IA","Hansen Agriculture Student Learning Center, Iowa State University",2000,"Primary"
2016-01-20,"Norwalk","IA","The Wright Place",300,"Primary"
2016-01-20,"Tulsa","OK","Mabee Center, Oral Roberts University",9000,"Primary"
2016-01-21,"Las Vegas","NV","South Point Hotel, Casino & Spa",3000,"Primary"
2016-01-23,"Pella","IA","Douwstra Auditorium, Central College",400,"Primary"
2016-01-23,"Sioux Center","IA","B. J. Haan Auditorium, Dordt College",2600,"Primary"
2016-01-24,"Muscatine","IA","Muscatine High School",1000,"Primary"
2016-01-25,"Farmington","NH","Farmington Senior High School",1000,"Primary"
2016-01-26,"Iowa City","IA","Iowa Field House, University of Iowa",2000,"Primary"
2016-01-26,"Marshalltown","IA","Roundhouse Gymnasium, Marshalltown High School",2149,"Primary"
2016-01-27,"Gilbert","SC","The Barn at Harmon's",400,"Primary"
2016-01-28,"Des Moines","IA","Sheslow Auditorium, Drake University",700,"Primary"
2016-01-29,"Nashua","NH","Radisson Hotel Nashua",850,"Primary"
2016-01-30,"Clinton","IA","Clinton Middle School",1000,"Primary"
2016-01-30,"Davenport","IA","Adler Theatre",2400,"Primary"
2016-01-30,"Dubuque","IA","Dubuque Regional Airport",1200,"Primary"
2016-01-31,"Council Bluffs","IA","Gerald W. Kirn Middle School",2000,"Primary"
2016-02-01,"Cedar Rapids","IA","DoubleTree Hotel Cedar Rapids Convention Complex",1500,"Primary"
2016-02-01,"Waterloo","IA","Ramada Waterloo Hotel and Convention Center",300,"Primary"
2016-02-02,"Milford","NH","Hampshire Hills Athletic Club",NA,"Primary"
2016-02-03,"Little Rock","AR","Barton Coliseum",11500,"Primary"
2016-02-04,"Exeter","NH","Exeter Town Hall",NA,"Primary"
2016-02-04,"Portsmouth","NH","Great Bay Community College",500,"Primary"
2016-02-05,"Florence","SC","Florence Civic Center",2000,"Primary"
2016-02-07,"Holderness","NH","ALLWell North, Plymouth State University",2500,"Primary"
